study	url
AIDA_pilot	https://service.azul.data.humancellatlas.org/manifest/files?catalog=dcp24&format=compact&filters=%7B%22projectId%22%3A+%7B%22is%22%3A+%5B%22f0f89c14-7460-4bab-9d42-22228a91f185%22%5D%7D%7D&objectKey=manifests%2Fe155a6b4-10ca-5a75-af3c-96ae729dabe0.ad738b13-97cf-556d-a2f5-be3e4b6b062c.tsv
Perez2022	https://service.azul.data.humancellatlas.org/manifest/files?catalog=dcp24&format=compact&filters=%7B%22projectId%22%3A+%7B%22is%22%3A+%5B%229fc0064b-84ce-40a5-a768-e6eb3d364ee0%22%5D%7D%7D&objectKey=manifests%2F9242b018-f03c-57a7-990c-eb0678011b1a.ad738b13-97cf-556d-a2f5-be3e4b6b062c.tsv
Lee2020	https://service.azul.data.humancellatlas.org/manifest/files?catalog=dcp24&format=compact&filters=%7B%22projectId%22%3A+%7B%22is%22%3A+%5B%2295f07e6e-6a73-4e1b-a880-c83996b3aa5c%22%5D%7D%7D&objectKey=manifests%2F299a44b6-5af2-5995-9965-77f008c7a0ba.ad738b13-97cf-556d-a2f5-be3e4b6b062c.tsv
Yoshida2022	https://service.azul.data.humancellatlas.org/manifest/files?catalog=dcp24&format=compact&filters=%7B%22projectId%22%3A+%7B%22is%22%3A+%5B%221538d572-bcb7-426b-8d2c-84f3a7f87bb0%22%5D%7D%7D&objectKey=manifests%2Faa0dd72b-47f3-50c4-a06c-eeaad14bbf9e.ad738b13-97cf-556d-a2f5-be3e4b6b062c.tsv
Stephenson2021	https://service.azul.data.humancellatlas.org/manifest/files?catalog=dcp24&format=compact&filters=%7B%22projectId%22%3A+%7B%22is%22%3A+%5B%22b963bd4b-4bc1-4404-8425-69d74bc636b8%22%5D%7D%7D&objectKey=manifests%2Ff316615a-629d-5bc0-be89-f24968cc9613.ad738b13-97cf-556d-a2f5-be3e4b6b062c.tsv
Hao2021	https://service.azul.data.humancellatlas.org/manifest/files?catalog=dcp24&format=compact&filters=%7B%22projectId%22%3A+%7B%22is%22%3A+%5B%223ce9ae94-c469-419a-9637-5d138a4e642f%22%5D%7D%7D&objectKey=manifests%2Fb46b36f6-1396-5187-9c79-ec0fd1944a16.ad738b13-97cf-556d-a2f5-be3e4b6b062c.tsv
COMBAT2022	https://service.azul.data.humancellatlas.org/manifest/files?catalog=dcp24&format=compact&filters=%7B%22projectId%22%3A+%7B%22is%22%3A+%5B%22cdabcf0b-7602-4abf-9afb-3b410e545703%22%5D%7D%7D&objectKey=manifests%2F5335c000-6062-5dfb-8e28-b7988b6de3dc.ad738b13-97cf-556d-a2f5-be3e4b6b062c.tsv
SchulteSchrepping2020	https://service.azul.data.humancellatlas.org/manifest/files?catalog=dcp24&format=compact&filters=%7B%22projectId%22%3A+%7B%22is%22%3A+%5B%22cd9d6360-ce38-4321-97df-f13c79e3cb84%22%5D%7D%7D&objectKey=manifests%2F9d7cdaff-e90f-50cd-8acb-a42872321851.ad738b13-97cf-556d-a2f5-be3e4b6b062c.tsv
VentoTormo	https://service.azul.data.humancellatlas.org/manifest/files?catalog=dcp24&format=compact&filters=%7B%22projectId%22%3A+%7B%22is%22%3A+%5B%222d4d89f2-ebeb-467c-ae60-a3efc5e8d4ba%22%5D%7D%7D&objectKey=manifests%2F4efa4c70-ef19-5c2e-beb2-a3aa82df00eb.ad738b13-97cf-556d-a2f5-be3e4b6b062c.tsv
Yazar2022	https://service.azul.data.humancellatlas.org/manifest/files?catalog=dcp24&format=compact&filters=%7B%22projectId%22%3A+%7B%22is%22%3A+%5B%22f2078d5f-2e7d-4844-8552-f7c41a231e52%22%5D%7D%7D&objectKey=manifests%2Fa0b2f59a-e560-5127-aa59-0473682ddf60.ad738b13-97cf-556d-a2f5-be3e4b6b062c.tsv