method	output_type	use_cell_type	no_scale	env	resources	do_not_expand
unintegrated	full,embed,knn	false	false	scanpy	cpu	
bbknn	knn	false	false	bbknn	gpu	
combat	full	false	false	scanpy	cpu	
harmony	embed	false	false	harmony	gpu	
harmonypy	embed	false	false	harmony_rapids	gpu	
scanorama	embed,full	false	false	scanorama	cpu	
scanvi	embed	true	true	scvi-tools	gpu	
scvi	embed	false	true	scvi-tools	gpu	
scpoli	embed	true	false	scarches	gpu	conditions,unknown_ct_names,labeled_indices,hidden_layer_sizes
scgen	embed,full	true	false	scarches	gpu	hidden_layer_sizes